time,temp
0,117.351148290639
1,117.351148290639
2,117.351148290639
3,117.351148290639
4,117.351148290639
5,117.351148290639
6,117.351148290639
7,117.351148290639
8,117.351148290639
9,117.351148290639
10,117.351148290639
11,117.351148290639
12,117.351148290639
13,117.351148290639
14,117.351148290639
15,117.351148290639
16,117.351148290639
17,117.351148290639
18,117.351148290639
19,117.351148290639
20,117.351148290639
21,117.351148290639
22,117.351148290639
23,117.351148290639
24,117.351148290639
25,117.351148290639
26,117.351148290639
27,117.351148290639
28,117.351148290639
29,117.351148290639
30,117.351148290639
31,117.351148290639
32,117.351148290639
33,117.351148290639
34,117.351148290639
35,117.351148290639
36,117.351148290639
37,117.351148290639
38,117.351148290639
39,117.351148290639
40,117.351148290639
41,117.351148290639
42,117.585945426327
43,117.820390630326
44,118.054484430138
45,118.288227352475
46,118.521619923257
47,118.754662667618
48,118.987356109905
49,119.219700773678
50,119.451697181712
51,119.683345855999
52,119.91464731775
53,120.145602087392
54,120.376210684574
55,120.606473628165
56,120.836391436257
57,121.065964626165
58,121.29519371443
59,121.524079216815
60,121.752621648315
61,121.980821523148
62,122.208679354767
63,122.436195655849
64,122.663370938308
65,122.890205713288
66,123.116700491167
67,123.342855781558
68,123.568672093312
69,123.794149934514
70,124.01928981249
71,124.244092233805
72,124.468557704264
73,124.692686728915
74,124.916479812048
75,125.139937457198
76,125.363060167144
77,125.585848443913
78,125.808302788778
79,126.030423702262
80,126.252211684137
81,126.473667233426
82,126.694790848404
83,126.915583026599
84,127.136044264794
85,127.356175059027
86,127.575975904591
87,127.79544729604
88,128.014589727183
89,128.233403691092
90,128.451889680098
91,128.670048185793
92,128.887879699036
93,129.105384709947
94,129.322563707913
95,129.539417181586
96,129.755945618886
97,129.972149507004
98,130.188029332397
99,130.403585580795
100,130.6188187372
101,130.833729285887
102,131.048317710405
103,131.262584493577
104,131.476530117504
105,131.690155063563
106,131.903459812412
107,132.116444843985
108,132.329110637499
109,132.541457671452
110,132.753486423625
111,132.965197371083
112,133.176590990176
113,133.387667756539
114,133.598428145095
115,133.808872630056
116,134.01900168492
117,134.228815782479
118,134.438315394815
119,134.647500993302
120,134.856373048607
121,135.064932030693
122,135.273178408817
123,135.481112651534
124,135.688735226696
125,135.896046601454
126,136.103047242259
127,136.309737614861
128,136.516118184316
129,136.722189414978
130,136.927951770508
131,137.133405713872
132,137.338551707342
133,137.543390212494
134,137.747921690218
135,137.952146600707
136,138.15606540347
137,138.359678557321
138,138.562986520393
139,138.765989750127
140,138.968688703281
141,139.171083835927
142,139.373175603456
143,139.574964460572
144,139.776450861302
145,139.97763525899
146,140.1785181063
147,140.37909985522
148,140.579380957058
149,140.779361862447
150,140.979043021344
151,141.178424883032
152,141.377507896119
153,141.576292508544
154,141.77477916757
155,141.972968319794
156,142.170860411141
157,142.368455886869
158,142.565755191566
159,142.762758769158
160,142.959467062901
161,143.155880515389
162,143.351999568554
163,143.547824663663
164,143.743356241322
165,143.938594741478
166,144.133540603417
167,144.328194265767
168,144.5225561665
169,144.71662674293
170,144.910406431715
171,145.10389566886
172,145.297094889717
173,145.490004528982
174,145.682625020703
175,145.874956798277
176,146.067000294449
177,146.258755941318
178,146.450224170334
179,146.641405412301
180,146.832300097376
181,147.022908655072
182,147.21323151426
183,147.403269103165
184,147.593021849372
185,147.782490179824
186,147.971674520827
187,148.160575298044
188,148.349192936502
189,148.537527860592
190,148.725580494066
191,148.913351260043
192,149.100840581008
193,149.288048878812
194,149.474976574673
195,149.661624089178
196,149.847991842286
197,150.034080253322
198,150.219889740987
199,150.405420723352
200,150.590673617861
201,150.775648841334
202,150.960346809965
203,151.144767939324
204,151.328912644359
205,151.512781339396
206,151.696374438139
207,151.879692353673
208,152.062735498463
209,152.245504284357
210,152.427999122584
211,152.610220423758
212,152.792168597876
213,152.973844054323
214,153.155247201868
215,153.336378448668
216,153.517238202268
217,153.697826869604
218,153.878144856999
219,154.05819257017
220,154.237970414223
221,154.41747879366
222,154.596718112373
223,154.775688773651
224,154.954391180179
225,155.132825734037
226,155.310992836703
227,155.488892889052
228,155.666526291361
229,155.843893443303
230,156.020994743956
231,156.197830591798
232,156.374401384708
233,156.550707519972
234,156.726749394279
235,156.902527403722
236,157.078041943802
237,157.253293409428
238,157.428282194914
239,157.603008693986
240,157.777473299779
241,157.951676404837
242,158.125618401119
243,158.299299679993
244,158.472720632242
245,158.645881648064
246,158.818783117071
